adversary,split,method,pool_size,seed,rank1,rank5,mAP
reid,crossview_cam3,original,10,17,0.9711111111111111,0.9855555555555555,0.7506292135604367
reid,crossview_cam3,original,10,18,0.9633333333333334,0.9888888888888889,0.7502456398661189
reid,crossview_cam3,original,10,19,0.9645833333333333,0.98125,0.7067975451642413
reid,crossview_cam3,original,10,20,0.9196078431372549,0.9705882352941176,0.6722876011643892
reid,crossview_cam3,original,10,21,0.928125,0.990625,0.6858895468908965
reid,crossview_cam3,original,10,22,0.8941176470588236,0.946078431372549,0.6943310251000555
reid,crossview_cam3,original,10,23,0.928125,0.9895833333333334,0.7170074875577416
reid,crossview_cam3,original,10,24,0.8529411764705882,0.9519607843137254,0.6657676192830414
reid,crossview_cam3,original,10,25,0.8798245614035087,0.9596491228070175,0.6648952781732619
reid,crossview_cam3,original,10,26,0.9644444444444444,0.9777777777777777,0.7294584809578978
reid,crossview_cam3,original,10,27,0.8944444444444445,0.9666666666666667,0.6421501991069741
reid,crossview_cam3,original,10,28,0.9551282051282052,0.958974358974359,0.7692007720677263
reid,crossview_cam3,original,10,29,0.868421052631579,0.9324561403508772,0.6858124399239616
reid,crossview_cam3,original,15,0,0.9420289855072463,0.9666666666666667,0.7361843208806259
reid,crossview_cam3,original,15,1,0.8938271604938272,0.9820987654320987,0.6182134408212034
reid,crossview_cam3,original,15,2,0.884090909090909,0.9765151515151516,0.6937740993940703
reid,crossview_cam3,original,15,3,0.8755952380952381,0.9422619047619047,0.5566381938779694
reid,crossview_cam3,original,15,4,0.8515151515151516,0.925,0.686509956839476
reid,crossview_cam3,original,15,5,0.8366666666666667,0.9566666666666667,0.6746688823784918
reid,crossview_cam3,original,15,6,0.89375,0.9715277777777778,0.66812812993736
reid,crossview_cam3,original,15,7,0.8659420289855072,0.95,0.6381597048456583
reid,crossview_cam3,original,15,8,0.8753086419753087,0.9604938271604938,0.6141217990845175
reid,crossview_cam3,original,15,9,0.8875,0.9533333333333334,0.6808737933558556
reid,crossview_cam3,original,15,10,0.8406666666666667,0.91,0.5643586834223345
reid,crossview_cam3,original,15,11,0.8858974358974359,0.9564102564102565,0.6153809744795743
reid,crossview_cam3,original,15,12,0.91875,0.96875,0.630106711701874
reid,crossview_cam3,original,15,13,0.9111111111111111,0.957936507936508,0.6671645928598479
reid,crossview_cam3,original,15,14,0.9424242424242424,0.9803030303030303,0.7195489449353542
reid,crossview_cam3,original,15,15,0.9521739130434783,0.9717391304347827,0.7017833930347906
reid,crossview_cam3,original,15,16,0.8816666666666667,0.9691666666666666,0.7334443161714114
reid,crossview_cam3,original,15,17,0.8814102564102564,0.95,0.5996524447964436
reid,crossview_cam3,original,15,18,0.9340909090909091,0.9598484848484848,0.6769915855873179
reid,crossview_cam3,original,15,19,0.9491666666666667,0.9866666666666667,0.741984716231298
reid,crossview_cam3,original,15,20,0.9398550724637681,0.9876811594202899,0.6871529097041544
reid,crossview_cam3,original,15,21,0.9430555555555555,0.9770833333333333,0.7177914564346989
reid,crossview_cam3,original,15,22,0.8865384615384615,0.9615384615384616,0.6364809448519408
reid,crossview_cam3,original,15,23,0.9536231884057971,0.9768115942028985,0.7288237831457612
reid,crossview_cam3,original,15,24,0.9391304347826087,0.9789855072463768,0.7105422045043246
reid,crossview_cam3,original,15,25,0.8733333333333333,0.9453333333333334,0.597987498790018
reid,crossview_cam3,original,15,26,0.9028985507246376,0.9543478260869566,0.6575551652306367
reid,crossview_cam3,original,15,27,0.9326388888888889,0.9729166666666667,0.6634751689968008
reid,crossview_cam3,original,15,28,0.8611111111111112,0.9590277777777778,0.5938671781157672
